first_name,second_name
Tom,Heaton
Jack,Grealish
John,McGinn
Tyrone,Mings
Matt,Targett
Marvelous,Nakamba
Anwar,El Ghazi
Douglas Luiz,Soares de Paulo
Ross,Barkley
Matthew,Cash
Ollie,Watkins
Bertrand,Traoré
Jacob,Ramsey
Morgan,Sanson
Kaine,Hayden
Carney,Chukwuemeka
Adam,Lallana
Pascal,Groß
Dan,Burn
Lewis,Dunk
Solomon,March
Adam,Webster
Joël,Veltman
Neal,Maupay
Leandro,Trossard
Ben,White
Yves,Bissouma
Tariq,Lamptey
Steven,Alzate
Alexis,Mac Allister
Jason,Steele
Danny,Welbeck
Robert,Sánchez
Thomas,McGill
Moisés,Caicedo
Dale,Stephens
James,Tarkowski
Phil,Bardsley
Jack,Cork
Kevin,Long
Ashley,Barnes
Nick,Pope
Charlie,Taylor
Josh,Brownhill
Dwight,McNeil
Will,Norris
Lewis,Richardson
Anthony,Mancini
Willy,Caballero
César,Azpilicueta
Marcos,Alonso
Jorge Luiz,Frello Filho
Antonio,Rüdiger
Kurt,Zouma
Kepa,Arrizabalaga
N'Golo,Kanté
Hakim,Ziyech
Christian,Pulisic
Mason,Mount
Reece,James
Kai,Havertz
Edouard,Mendy
Wayne,Hennessey
Vicente,Guaita
Christian,Benteke
Cheikhou,Kouyaté
Joel,Ward
Martin,Kelly
Luka,Milivojevic
Jordan,Ayew
Wilfried,Zaha
Jeffrey,Schlupp
Jairo,Riedewald
Tyrick,Mitchell
Nathaniel,Clyne
Jack,Butland
Jean-Philippe,Mateta
Reece,Hannam
Jesurun,Rak-Sakyi
Seamus,Coleman
Lucas,Digne
Michael,Keane
Jordan,Pickford
André Filipe,Tavares Gomes
Alex,Iwobi
Tom,Davies
Dominic,Calvert-Lewin
Mason,Holgate
Richarlison,de Andrade
Allan,Marques Loureiro
Abdoulaye,Doucouré
Ben,Godfrey
Robin,Olsen
Tyler,Onyango
Joshua,King
Harry,Tyrer
Reece,Welch
Isaac,Price
Ruben,Loftus-Cheek
Alphonse,Areola
Ademola,Lookman
Joachim,Andersen
Kasper,Schmeichel
Jonny,Evans
Marc,Albrighton
Danny,Ward
Jamie,Vardy
Ricardo Domingos,Barbosa Pereira
Daniel,Amartey
Ayoze,Pérez
James,Maddison
Kelechi,Iheanacho
Hamza,Choudhury
Harvey,Barnes
Çaglar,Söyüncü
Luke,Thomas
Timothy,Castagne
Nampalys,Mendy
Wesley,Fofana
Liam,Cooper
Mateusz,Klich
Jack,Harrison
Kalvin,Phillips
Jamie,Shackleton
Pascal,Struijk
Illan,Meslier
Robin,Koch
Rodrigo,Moreno
Diego,Llorente
Raphael,Dias Belloli
Jack,Jenkins
Charlie,Cresswell
Joe,Gelhardt
Sam,Greenwood
James,Milner
Konstantinos,Tsimikas
Jordan,Henderson
Adrián,San Miguel del Castillo
Joel,Matip
Alex,Oxlade-Chamberlain
Roberto,Firmino
Sadio,Mané
Alisson,Ramses Becker
Andrew,Robertson
Divock,Origi
Trent,Alexander-Arnold
Naby,Keita
Curtis,Jones
Diogo,Jota
Thiago,Alcántara do Nascimento
Caoimhin,Kelleher
Ben,Davies
Fernando,Luiz Rosa
Ilkay,Gündogan
Kevin,De Bruyne
Riyad,Mahrez
Raheem,Sterling
João Pedro Cavaco,Cancelo
Ederson,Santana de Moraes
Nathan,Aké
Aymeric,Laporte
Bernardo Mota,Veiga de Carvalho e Silva
Gabriel Fernando,de Jesus
Oleksandr,Zinchenko
Phil,Foden
Rodrigo,Hernandez
Zack,Steffen
Liam,Delap
