assists,element_type,clean_sheets,creativity,goals_conceded,goals_scored,minutes,influence,points_per_game,saves,bonus,yellow_cards,total_points,total_points_next
0,1,7,10,41,0,2430,603,3,91,11,1,99,67
0,1,2,0,14,0,990,213,3,30,3,0,36,1
0,2,4,25,21,0,1193,222,2,0,1,1,34,26
0,2,0,1,0,0,8,0,1,0,0,0,1,1
1,2,6,303,38,5,2182,537,3,0,7,7,95,140
7,3,10,716,31,9,2549,668,4,0,8,5,136,143
2,3,7,333,35,5,2425,490,3,0,9,5,101,121
9,3,9,1012,48,2,3120,626,3,0,7,3,121,135
2,3,8,379,52,10,3079,873,4,0,21,8,144,166
7,4,6,406,36,3,2234,325,2,0,5,6,84,33
0,2,2,21,6,0,435,74,1,0,0,0,23,0
0,3,2,60,10,0,627,207,2,0,0,1,15,120
3,3,4,234,17,3,1214,316,3,0,3,2,62,101
0,1,10,30,58,0,3420,873,3,121,16,0,145,161
3,2,5,373,34,2,1909,407,3,0,10,1,82,7
1,2,4,113,12,0,1035,227,3,0,0,0,39,125
0,2,6,24,39,0,2063,529,2,0,5,2,60,22
2,2,5,184,31,0,1589,362,2,0,2,2,50,19
1,2,7,58,46,0,2559,703,2,0,11,3,81,129
0,3,6,159,38,0,2124,361,1,0,1,4,52,28
2,3,9,303,45,2,2749,577,2,0,7,6,87,78
2,3,6,207,24,2,1892,242,2,0,3,7,66,26
3,4,0,159,23,8,1076,370,3,0,14,2,83,30
0,4,4,226,13,5,984,232,3,0,9,0,55,56
0,1,0,0,0,0,0,0,0,0,0,0,0,2
1,1,10,30,58,0,3420,846,3,103,11,1,135,99
2,2,9,107,53,0,3264,928,2,0,15,6,102,76
0,2,7,125,26,0,1585,266,2,0,0,1,60,49
1,2,5,251,31,0,1902,322,2,0,2,7,50,9
0,2,0,0,0,0,0,0,0,0,0,0,0,24
3,2,10,123,58,0,3420,768,2,0,9,6,107,67
3,3,10,848,52,4,3066,753,3,0,8,4,113,76
0,3,7,172,40,0,2396,475,1,0,0,8,53,54
0,3,3,58,11,0,755,111,1,0,0,3,22,63
4,4,3,255,23,0,1268,209,1,0,0,4,44,2
2,4,4,191,34,6,1807,352,2,0,14,1,94,34
2,4,6,270,32,7,1849,377,3,0,12,2,92,69
1,2,4,381,28,0,1670,310,2,0,5,3,51,50
1,3,1,40,5,0,217,30,2,0,0,1,10,2
0,2,2,52,14,0,1047,268,2,0,2,0,30,60
2,3,3,300,12,1,997,173,2,0,3,1,40,69
0,1,1,0,7,0,274,51,2,6,0,0,9,9
0,2,5,62,52,0,2817,530,1,0,1,4,61,76
1,2,4,282,35,0,1917,396,2,0,8,1,57,3
